schema_name,table_name,object_type,rls_enabled,rls_forced,policy_name,policy_command,permissive,applies_to_roles,using_expression,with_check_expression
private,mv_gl_monthly_account_summary,materialized_view,false,false,null,null,null,null,null,null
private,mv_gl_monthly_balance_sheet_snapshot,materialized_view,false,false,null,null,null,null,null,null
public,addresses,table,true,false,Enable users to view their own data only,SELECT,true,{authenticated},"(id IN ( SELECT employees.personal_address_id
   FROM employees
  WHERE (employees.profile_id = auth.uid())))",null
public,addresses,table,true,false,HR CRUD,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM (profiles p
     JOIN departments d ON ((d.id = p.department_id)))
  WHERE ((p.id = auth.uid()) AND (d.sub = 'HR'::text))))","(EXISTS ( SELECT 1
   FROM (profiles p
     JOIN departments d ON ((d.id = p.department_id)))
  WHERE ((p.id = auth.uid()) AND (d.sub = 'HR'::text))))"
public,addresses,table,true,false,Superadmin CRUD,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role_id = 3))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role_id = 3))))"
public,ai_dashboard_summaries,table,true,false,Allow authenticated read access,SELECT,true,{authenticated},true,null
public,attendance_activities,table,true,false,Enable users to insert their own data only,INSERT,true,{authenticated},null,"(employee_id = ( SELECT employees.id
   FROM employees
  WHERE (employees.profile_id = auth.uid())))"
public,attendance_activities,table,true,false,Enable users to update their own data only,UPDATE,true,{authenticated},"(employee_id = ( SELECT employees.id
   FROM employees
  WHERE (employees.profile_id = auth.uid())))","(employee_id = ( SELECT employees.id
   FROM employees
  WHERE (employees.profile_id = auth.uid())))"
public,attendance_activities,table,true,false,Enable users to view their own data only,SELECT,true,{authenticated},"(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.profile_id = auth.uid())))",null
public,attendance_activities,table,true,false,HR CRUD,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.department_id = 7))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.department_id = 7))))"
public,attendance_activities,table,true,false,Only Managers can CRUD Team Attendance,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM employees e
  WHERE ((e.id = attendance_activities.employee_id) AND (e.manager_id = ( SELECT employees.id
           FROM employees
          WHERE (employees.profile_id = auth.uid()))))))","(EXISTS ( SELECT 1
   FROM employees e
  WHERE ((e.id = attendance_activities.employee_id) AND (e.manager_id = ( SELECT employees.id
           FROM employees
          WHERE (employees.profile_id = auth.uid()))))))"
public,attendance_activities,table,true,false,Superadmin CRUD,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role_id = 3))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role_id = 3))))"
public,attendance_logs,table,true,false,null,null,null,null,null,null
public,attendance_types,table,true,false,Enable read access for all users,SELECT,true,{authenticated},true,null
public,clients,table,true,false,Enable read access for all users,SELECT,true,{authenticated},true,null
public,clients,table,true,false,MGM Department CRUD,ALL,true,{authenticated},"(EXISTS ( SELECT 1
   FROM (profiles p
     JOIN departments d ON ((d.id = p.department_id)))
  WHERE ((p.id = auth.uid()) AND (d.sub = 'MGM'::text))))","(EXISTS ( SELECT 1
   FROM (profiles p
     JOIN departments d ON ((d.id = p.department_id)))
  WHERE ((p.id = auth.uid()) AND (d.sub = 'MGM'::text))))"
