event_type,audience_by_role_dept,audience_by_payload_key,audience_explicit_ids,channels,condition,is_active,rules_for_this_event,id,created_at,updated_at
attendance.approval_pending_hr,manager/staff in HR,,,"in_app, email",{},true,1,46,2026-09-23 01:52:41.811173+00,2026-09-23 01:52:41.811173+00
attendance.approval_pending_manager,,manager_profile_id,,"in_app, email",{},true,1,45,2026-09-23 01:52:41.811173+00,2026-09-23 01:52:41.811173+00
attendance.autoclockout_approaching,,employee_profile_id,,"in_app, email",{},true,1,51,2026-09-23 05:58:49.052726+00,2026-09-23 05:58:49.052726+00
attendance.backfilled,,employee_profile_id,,in_app,{},true,1,53,2026-09-23 05:59:19.09539+00,2026-09-23 05:59:19.09539+00
attendance.clocked_in_remote,,employee_profile_id,,in_app,{},true,1,50,2026-09-23 05:58:49.052726+00,2026-09-23 05:58:49.052726+00
attendance.clocked_out_remote,,employee_profile_id,,"in_app, email",{},true,1,52,2026-09-23 05:59:04.91661+00,2026-09-23 05:59:04.91661+00
document.attached,,recipient_profile_id,,"in_app, email",{},true,1,14,2026-08-18 03:16:00.085129+00,2026-08-18 03:16:00.085129+00
document.removed,,attached_by_profile_id,,"in_app, email",{},true,1,41,2026-09-11 08:04:27.85519+00,2026-09-11 08:04:27.85519+00
employee.confirmation_due_soon,manager/staff in HR,manager_profile_id,,"in_app, email",{},true,1,2,2026-08-14 02:24:04.749691+00,2026-08-14 02:24:04.749691+00
employee.confirmation_overdue,manager/staff in HR,manager_profile_id,,"in_app, email",{},true,1,5,2026-08-14 07:29:50.109368+00,2026-08-14 07:29:50.109368+00
employee.confirmation_status_mismatch,manager/staff in HR,,,"in_app, email",{},false,1,4,2026-08-14 07:29:40.071948+00,2026-08-14 07:29:40.071948+00
employee.contract_action_due,manager/staff in HR,manager_profile_id,,"in_app, email",{},true,1,6,2026-08-14 07:29:56.246903+00,2026-08-14 07:29:56.246903+00
employee.offboarding_case_completed,superadmin in HR/IT,,,"in_app, email",{},true,1,21,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.offboarding_case_opened,anyone in HR,manager_profile_id,,"in_app, email",{},true,1,18,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.offboarding_hr_items_approaching,anyone in HR,,,"in_app, email",{},true,1,24,2026-09-02 03:55:31.658293+00,2026-09-02 03:55:31.658293+00
employee.offboarding_it_revocation_needed,anyone in IT,,,"in_app, email",{},true,1,19,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.offboarding_last_day_approaching,anyone in IT,,,"in_app, email",{},true,1,22,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.offboarding_overdue,superadmin in HR/IT,,,"in_app, email",{},true,1,23,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.onboarding_case_opened,anyone in HR,manager_profile_id,,"in_app, email",{},true,1,25,2026-09-02 04:09:32.073199+00,2026-09-02 04:09:32.073199+00
employee.onboarding_case_ready,,new_profile_id,,"in_app, email",{},true,1,27,2026-09-02 05:44:25.380493+00,2026-09-02 05:44:25.380493+00
employee.onboarding_checklist_completed,anyone in HR,new_profile_id,,"in_app, email",{},true,1,20,2026-09-01 14:09:18.582764+00,2026-09-01 14:09:18.582764+00
employee.onboarding_it_setup_needed,anyone in IT,,,"in_app, email",{},true,1,26,2026-09-02 04:09:32.073199+00,2026-09-02 04:09:32.073199+00
employee.profile_linked,,linked_profile_id,,"in_app, email",{},true,1,11,2026-08-17 04:06:59.410602+00,2026-08-17 04:06:59.410602+00
lead.stage_changed,manager in SAL,,,"in_app, email","{""new_stage"": [""NEGOTIATION"", ""WON""]}",true,1,1,2026-08-14 01:01:55.813695+00,2026-08-14 01:01:55.813695+00
payroll.reconciliation_digest_weekly,manager/staff in HR,,,in_app,{},true,2,48,2026-09-23 01:53:38.00337+00,2026-09-23 01:53:38.00337+00
payroll.reconciliation_digest_weekly,any superadmin,,,in_app,{},true,2,49,2026-09-23 01:53:38.00337+00,2026-09-23 01:53:38.00337+00
payroll.reconciliation_outstanding,,employee_profile_id,,in_app,{},true,1,47,2026-09-23 01:53:38.00337+00,2026-09-23 01:53:38.00337+00
profile.created.needs_department_assignment,any superadmin,,,"in_app, email",{},true,1,7,2026-08-17 02:17:09.98914+00,2026-08-17 02:17:09.98914+00
profile.created.needs_employee_link,anyone in HR,,,"in_app, email",{},true,1,8,2026-08-17 02:17:53.428413+00,2026-08-17 02:17:53.428413+00
profile.created.welcome,,new_profile_id,,"in_app, email",{},true,1,9,2026-08-17 02:18:14.20296+00,2026-08-17 02:18:14.20296+00
profile.department_role_assigned,,profile_id,,"in_app, email",{},true,1,10,2026-08-17 04:06:33.327739+00,2026-08-17 04:06:33.327739+00
project.deadline_approaching,,recipient_profile_id,,"in_app, email",{},true,1,34,2026-09-11 08:03:47.205975+00,2026-09-11 08:03:47.205975+00
project.member_added,,member_profile_id,,"in_app, email",{},true,1,13,2026-08-17 07:04:17.585302+00,2026-08-17 07:04:17.585302+00
project.member_removed,,member_profile_id,,"in_app, email",{},true,1,31,2026-09-11 08:03:47.205975+00,2026-09-11 08:03:47.205975+00
project.member_role_changed,,member_profile_id,,"in_app, email",{},true,1,32,2026-09-11 08:03:47.205975+00,2026-09-11 08:03:47.205975+00
project.overdue,,recipient_profile_id,,"in_app, email",{},true,1,35,2026-09-11 08:03:47.205975+00,2026-09-11 08:03:47.205975+00
project.ownership_transferred,,new_owner_profile_id,,"in_app, email",{},true,1,33,2026-09-11 08:03:47.205975+00,2026-09-11 08:03:47.205975+00
project.status_changed,,recipient_profile_id,,"in_app, email",{},true,1,15,2026-08-18 03:16:00.085129+00,2026-08-18 03:16:00.085129+00
sales_order.po_matched,,lead_owner_profile_id,,"in_app, email",{},true,1,17,2026-08-19 05:14:11.650012+00,2026-08-19 05:14:11.650012+00
task.assigned,,assignee_profile_id,,"in_app, email",{},true,1,12,2026-08-17 07:04:17.585302+00,2026-08-17 07:04:17.585302+00
task.deleted,,recipient_profile_id,,"in_app, email",{},true,1,40,2026-09-11 08:04:08.908449+00,2026-09-11 08:04:08.908449+00
task.due_date_changed,,recipient_profile_id,,"in_app, email",{},true,1,37,2026-09-11 08:04:08.908449+00,2026-09-11 08:04:08.908449+00
task.due_soon,,assignee_profile_id,,"in_app, email",{},true,1,38,2026-09-11 08:04:08.908449+00,2026-09-11 08:04:08.908449+00
task.overdue,,assignee_profile_id,,"in_app, email",{},true,1,39,2026-09-11 08:04:08.908449+00,2026-09-11 08:04:08.908449+00
task.status_changed,,recipient_profile_id,,"in_app, email",{},true,1,16,2026-08-18 03:16:00.085129+00,2026-08-18 03:16:00.085129+00
task.unassigned,,assignee_profile_id,,"in_app, email",{},true,1,36,2026-09-11 08:04:08.908449+00,2026-09-11 08:04:08.908449+00
