"module","route_path","page_component","status","sidenav_active","sidenav_roles","sidenav_departments","dashboard_card_active","dashboard_roles","dashboard_departments","route_guard_roles","route_guard_departments","current_drift","should_roles","should_departments","change_from_current","rationale"
"General","/app","src/pages/user/dashboard/Dashboard.jsx","built","yes","","","n/a","","","","","none","","","no","R2 universal home page, open to all authenticated users"
"General","/app/announcements","src/pages/user/announcements/Announcements.jsx","orphan-route","commented-out","","","no-entry","","","","","nav hidden, route live and ungated","","","no","R2 universal; safe to reactivate nav entry with no gate"
"General","/app/notifications","src/pages/user/notifications/Notifications.jsx","orphan-route","commented-out","","","no-entry","","","","","nav hidden, route live and ungated","","","no","R2 universal; safe to reactivate nav entry with no gate"
"General","/app/profile","src/pages/user/profile/Profile.jsx","built","yes","","","no-entry","","","","","none","","","no","R2 universal personal page"
"General","/app/department","src/pages/user/department/Department.jsx","built","yes","","","no-entry","","","","","none","","","no","R2 universal, view own department info"
"General","/app/employees","src/pages/user/employees/EmployeesPublicPage.jsx","built","yes","","","no-entry","","","","","none","","","no","R2 universal company directory; CLAUDE.md notes this is the non-HR-safe public view"
"General","/app/employees/:employeeId","src/pages/user/employees/employeeProfile/EmployeeProfile.jsx","built","no-entry (sub-page of Employees)","","","no-entry","","","","","none","","","no","R2 universal; detail view of the Employees directory row above"
"Workspace","/app/workspace","(index -> redirects to workspace/projects)","layout-only","commented-out (whole segment)","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to workspace/projects; see that row for effective access"
"Workspace","/app/workspace/projects","src/pages/user/workspace/projects/Projects.jsx","orphan-route","commented-out","","","no-entry","","","","","nav hidden, route live and ungated","","","no","R2 universal cross-department collaboration tool"
"Workspace","/app/workspace/tasks","src/pages/user/workspace/tasks/Tasks.jsx","orphan-route","commented-out","","","no-entry","","","","","nav hidden, route live and ungated","","","no","R2 universal"
"Workspace","/app/workspace/documents","src/pages/user/workspace/documents/Documents.jsx","orphan-route","commented-out","","","no-entry","","","","","nav hidden, route live and ungated","","","no","R2 universal"
"Sales","/app/sales","(index -> redirects to sales/reports)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to sales/reports; see that row"
"Sales","/app/sales/reports","src/pages/user/sales/reports/Reports.jsx","built","yes","manager","SAL;MGM","yes","manager","SAL;MGM","manager","SAL;MGM","none - all three sources agree","manager","SAL;MGM","no","R5 Tier-3 department Reports; Sales owns it, MGM gets cross-department exec visibility; already correctly scoped everywhere"
"Sales","/app/sales/clients","src/pages/user/sales/clients/ClientsPageLayout.jsx","built","yes","","SAL","yes","","SAL","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","R3 Tier-1/2 List/Overview, department-only, no role restriction; MGM doesn't need row-level CRM access, only the Reports rollup (R5) - tighten the route to match nav/dashboard"
"Sales","/app/sales/clients/overview","src/pages/user/sales/clients/overview/ClientsOverview.jsx","stub","no-entry (covered by Clients segment link)","","","no-entry","","","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Same rationale as sales/clients; DASHBOARD-CURRENT-STATE.md calls this a literal empty stub"
"Sales","/app/sales/clients/list","src/pages/user/sales/clients/list/ClientsManagement.jsx","built","no-entry","","","no-entry","","","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Fully built CRUD per docs; same tightening rationale as sales/clients"
