id,sub,name,created_at,updated_at
1,GEN,General,2026-01-29 06:56:10.360966+00,2026-01-29 06:56:10.360966+00
2,BDV,Business Development,2026-01-29 06:43:45.985687+00,2026-01-29 06:43:45.985687+00
3,SAL,Sales,2026-01-29 06:43:54.872986+00,2026-01-29 06:43:54.872986+00
4,MKT,Marketing,2026-01-29 06:44:14.870132+00,2026-01-29 06:44:14.870132+00
5,STR,Corporate Strategy,2026-01-29 06:44:27.375203+00,2026-01-29 06:44:27.375203+00
6,GEC,GEC's Office,2026-01-29 06:44:39.225471+00,2026-01-29 06:44:39.225471+00
7,HR,Human Resources,2026-01-29 06:44:50.812408+00,2026-01-29 06:44:50.812408+00
8,IT,Information Technology,2026-01-29 06:45:00.605041+00,2026-01-29 06:45:00.605041+00
9,OPS,Operations,2026-01-29 06:45:09.101978+00,2026-01-29 06:45:09.101978+00
10,PRD,Production,2026-01-29 06:45:17.958166+00,2026-01-29 06:45:17.958166+00
11,LOG,Warehouse & Logistics,2026-01-29 06:45:29.842162+00,2026-01-29 06:45:29.842162+00
12,PUR,Purchasing,2026-01-29 06:45:39.11237+00,2026-01-29 06:45:39.11237+00
13,QA,Quality Assurance,2026-01-29 06:45:50.465889+00,2026-01-29 06:45:50.465889+00
14,MGM,Top Management,2026-01-29 06:46:07.659013+00,2026-01-29 06:46:07.659013+00
15,FIN,Accounts & Finance,2026-01-29 06:41:44.302428+00,2026-01-29 06:41:44.302428+00
16,COM,Corporate Communications,2026-01-29 12:56:26.242256+00,2026-01-29 12:56:26.242256+00
17,SUS,Suspended,2026-01-29 06:46:30.756383+00,2026-01-29 06:46:30.756383+00
18,ADM,Administration,2026-02-09 01:04:40.57976+00,2026-02-09 01:04:40.57976+00
